arstists_with_nations
artist; nation
Sam Smith, Kim Petras;EN
INSTASAMKA;RU
Skofka;UA
Kordhell;EN
Aarne, BUSHIDO ZHO, ANIKV;RU
MUPP, Sadfriendd;RU
xxxmanera;RU
uglystephan, Scally Milano;RU
KALUSH, Skofka;UA
Imagine Dragons;EN
ENLEO;UA
jockii druce;UA
Dxrk ダーク;RU
PLAYAMANE, Nateki;EN
Clonnex;RU
Tom Odell;EN
ONIMXRU, SMITHMANE;RU
Rosa Walton, Hallie Coggins;EN
INTERWORLD;EN
KALUSH, Kalush Orchestra;UA
MoonDeity;EN
The Neighbourhood;EN
Chico, Qatoshi;UA
SadSvit;UA
Mr.Kitty;EN
Oxxxymiron;RU
KOLA;UA
KALUSH, Tember Blanche;UA
SHUMEI;UA
Шайни;RU
100лиця, SKYLERR;UA
Кореш;RU
YARMAK, ALISA;UA
PLOHOYPAREN;RU
BUSHIDO ZHO;RU
alyona alyona, Jerry Heil, ela.;UA
БРЕДИШЬ;RU
shadowraze;RU
Chris Brown;EN
Arut, MORGENSHTERN;RU
Ghost;EN
Молодой Платон, Poshlaya Molly, Yanix;RU
АДЛИН;RU
uglystephan archive;RU
BLACKPINK;EN
ScurtDae;EN
DVRST;EN
Jerry Heil;UA
Мюслі UA;UA
Scally Milano, uglystephan;RU
David Guetta, Bebe Rexha;EN
анастимоза;UA
КАКАЯ РАЗНИЦА;RU
Hensonn;EN
Wellboy;UA
Artem Pivovarov, DOROFEEVA;UA
XXXTENTACION;EN
Милана Хаметова, Milana Star;RU
Rammstein;EN
Кореш, treepside;RU
zxcursed;RU
Harry Styles;EN
Ghostface Playa;EN
KUTE;EN
Odyn v Kanoe;UA
хейтспіч;UA
H8.HOOD;RU
Lil Peep;EN
Big Baby Tape, kizaru;RU
VovaZiLvova, Morphom;UA
Scally Milano, OG Buda;RU
Eminem, Dina Rae;EN
Ed Sheeran, Antytila;UA
CHEEV;UA
kizaru;RU
WENARO, LXNER;RU
remember.;RU
Surf Curse;EN
FACE;RU
Nirvana;EN
OneRepublic;EN
Motor'Rolla;UA
Artem Pivovarov;UA
Taras Chubay, Плач Єремії;UA
alyona alyona, Jerry Heil;UA
shadowraze, LXNER, quiizzzmeow;RU
Scally Milano;RU
uniqe, nkeeei, ARTEM SHILOVETS;RU
Мюслі UA, VASIA CHARISMA;UA
Beach Weather;EN
Imagine Dragons, JID, Arcane, League of Legends;EN
Kate Bush;EN
FACE, Squirrel Flower;RU
PROBASS ∆ HARDI;UA
ATELLWULF;RU
Isolate.exe;EN
RAT BOY, IBDY;EN
KRBK;RU
Eyedress;EN
Кишлак;RU
The Weeknd, Gesaffelstein;EN
Cheriimoya, Sierra Kidd;EN
Маша Кондратенко;UA
MamaRika;UA
Jerry Heil, Verka Serduchka;UA
Valentin Strykalo;RU
mazie;EN
SHADXWBXRN, ARCHEZ, KXNVRA;EN
Lil Nas X;EN
Arctic Monkeys;EN
Arut, Big Baby Tape;RU
KALUSH;UA
10AGE, Ramil';RU
