,EN,RU,UA,week
0,71,121,8,2021-04-29
0,67,127,6,2021-05-06
0,69,126,5,2021-05-13
0,64,131,5,2021-05-20
0,69,121,10,2021-05-27
0,68,123,9,2021-06-03
0,66,126,8,2021-06-10
0,65,126,9,2021-06-17
0,60,130,10,2021-06-24
0,58,133,9,2021-07-01
0,58,132,10,2021-07-08
0,56,135,9,2021-07-15
0,51,140,9,2021-07-22
0,60,120,20,2021-07-29
0,52,135,13,2021-08-05
0,51,137,12,2021-08-12
0,49,142,9,2021-08-19
0,47,144,9,2021-08-26
0,60,131,9,2021-09-02
0,51,142,7,2021-09-09
0,50,140,10,2021-09-16
0,50,142,8,2021-09-23
0,50,141,9,2021-09-30
0,47,142,11,2021-10-07
0,47,144,9,2021-10-14
0,45,147,8,2021-10-21
0,46,147,7,2021-10-28
0,50,142,8,2021-11-04
0,53,141,5,2021-11-11
0,47,147,6,2021-11-18
0,46,147,7,2021-11-25
0,45,150,5,2021-12-02
0,46,151,3,2021-12-09
0,51,147,2,2021-12-16
0,46,151,3,2021-12-23
0,51,146,3,2021-12-30
0,50,145,5,2022-01-06
0,52,145,3,2022-01-13
0,47,149,4,2022-01-20
0,48,148,4,2022-01-27
0,50,145,5,2022-02-03
0,46,150,4,2022-02-10
0,39,154,7,2022-02-17
0,39,152,9,2022-02-24
0,43,142,15,2022-03-03
0,43,141,16,2022-03-10
0,44,135,21,2022-03-17
0,43,123,34,2022-03-24
0,40,120,40,2022-03-31
0,38,120,42,2022-04-07
0,42,115,43,2022-04-14
0,42,112,46,2022-04-21
0,39,113,48,2022-04-28
0,40,113,47,2022-05-05
0,39,105,56,2022-05-12
0,51,90,59,2022-05-19
0,47,98,55,2022-05-26
0,50,95,55,2022-06-02
0,53,89,58,2022-06-09
0,56,84,60,2022-06-16
0,49,86,65,2022-06-23
0,49,88,63,2022-06-30
0,50,97,53,2022-07-07
0,46,99,55,2022-07-14
0,43,94,63,2022-07-21
0,45,90,65,2022-07-28
0,45,89,66,2022-08-04
0,45,91,64,2022-08-11
0,44,90,66,2022-08-18
0,45,86,69,2022-08-25
0,54,76,70,2022-09-01
0,57,81,62,2022-09-08
0,65,78,57,2022-09-15
0,68,79,53,2022-09-22
0,68,78,54,2022-09-29
0,70,77,53,2022-10-06
0,70,71,59,2022-10-13
0,68,70,62,2022-10-20
0,62,82,56,2022-10-27
0,61,79,60,2022-11-03
0,68,71,61,2022-11-10
0,67,71,62,2022-11-17
0,66,75,59,2022-11-24
0,68,81,51,2022-12-01
0,73,72,55,2022-12-08
0,76,66,58,2022-12-15
0,64,77,59,2022-12-22
0,68,73,59,2022-12-29
