,EN,RU,UA,week
0,1904102,3441525,153478,2021-04-29
0,1849496,3807013,134312,2021-05-06
0,1894245,3759507,114788,2021-05-13
0,1795745,4382919,115415,2021-05-20
0,2635710,4964155,407745,2021-05-27
0,2838894,5426174,340332,2021-06-03
0,2500579,4929259,268459,2021-06-10
0,2230071,4577980,300901,2021-06-17
0,1979053,4364141,290657,2021-06-24
0,2009689,4667491,261177,2021-07-01
0,2085675,4668547,317644,2021-07-08
0,2148331,4675027,295118,2021-07-15
0,1961745,5043835,304317,2021-07-22
0,2188688,4471872,611601,2021-07-29
0,2038921,4760161,396343,2021-08-05
0,2153036,4783770,376880,2021-08-12
0,2118625,5177081,298854,2021-08-19
0,1949812,5241043,313161,2021-08-26
0,2272759,4820875,304999,2021-09-02
0,2031257,5156692,246882,2021-09-09
0,1974275,5654089,375520,2021-09-16
0,2007350,5749102,300676,2021-09-23
0,2001856,5759131,327330,2021-09-30
0,1872804,5741542,383802,2021-10-07
0,1951874,5987705,339395,2021-10-14
0,1913197,6091372,282489,2021-10-21
0,1995026,10198870,263134,2021-10-28
0,2034864,8313192,273259,2021-11-04
0,2085282,7427522,177414,2021-11-11
0,1858160,7152156,200387,2021-11-18
0,1836975,6983716,260303,2021-11-25
0,1807080,7170372,182005,2021-12-02
0,1957440,7741553,127596,2021-12-09
0,2170848,7235468,95219,2021-12-16
0,2022462,7988710,142118,2021-12-23
0,2312261,7667098,134269,2021-12-30
0,2124741,7277020,189814,2022-01-06
0,2118794,7121344,121131,2022-01-13
0,2045475,8238691,158305,2022-01-20
0,2078209,8396081,183065,2022-01-27
0,2159984,8284389,196774,2022-02-03
0,2035568,8278134,167258,2022-02-10
0,1821796,9071680,405657,2022-02-17
0,1606552,7914925,456298,2022-02-24
0,1034713,4374977,544128,2022-03-03
0,1282210,5463449,572217,2022-03-10
0,1353578,5133943,771201,2022-03-17
0,1390212,4798765,1209316,2022-03-24
0,1222869,4485822,1406159,2022-03-31
0,1229650,4456617,1566116,2022-04-07
0,1384750,4553433,1754707,2022-04-14
0,1444215,4391228,1924495,2022-04-21
0,1347211,4192380,1991776,2022-04-28
0,1396362,4458206,2093989,2022-05-05
0,1293361,3758232,2412155,2022-05-12
0,1862917,3449255,3025146,2022-05-19
0,1783881,3706928,2611902,2022-05-26
0,1813435,3588472,2403645,2022-06-02
0,1890802,3393827,2435292,2022-06-09
0,1963850,3085211,2453744,2022-06-16
0,1814107,3278141,2596349,2022-06-23
0,1769910,3303842,2507788,2022-06-30
0,1815112,4090198,2196259,2022-07-07
0,1735478,3930820,2279945,2022-07-14
0,1661231,3671290,2449429,2022-07-21
0,1788065,3763955,2841190,2022-07-28
0,1870103,3981231,3015194,2022-08-04
0,1887895,4252056,3043443,2022-08-11
0,1856198,4134712,3242745,2022-08-18
0,1926275,3867716,3502859,2022-08-25
0,2276428,3409873,3543325,2022-09-01
0,2387243,3553002,3112407,2022-09-08
0,2718916,3560312,2904516,2022-09-15
0,2843463,3729540,2679555,2022-09-22
0,3182614,3652546,2610591,2022-09-29
0,3217587,3597461,2637363,2022-10-06
0,3138733,3218729,2746856,2022-10-13
0,3180711,3240545,2949235,2022-10-20
0,2981527,4518273,2745115,2022-10-27
0,2919874,3945318,3033147,2022-11-03
0,3280751,3378834,3075911,2022-11-10
0,3009404,3088666,2978618,2022-11-17
0,2911775,3408365,2480575,2022-11-24
0,3019028,3120309,2240069,2022-12-01
0,3256352,2780560,2443291,2022-12-08
0,3388128,2651719,2698259,2022-12-15
